City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.15,overcast clouds,-23.1203,-134.9692,Pension Maro'i
2,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
9,Carnarvon,AU,80.6,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
11,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
19,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
20,Lorengau,PG,80.94,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
24,Bengkulu,ID,75.65,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
32,Campina Verde,BR,91.09,overcast clouds,-19.5356,-49.4864,Hotel Lino
33,Cabo San Lucas,MX,75.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
34,Esperance,AU,77.0,scattered clouds,-33.8667,121.9,Hospitality Esperance
36,Concordia,AR,78.8,broken clouds,-31.393,-58.0209,Palmar Hotel Casino
37,Puerto Santander,CO,82.4,scattered clouds,8.3636,-72.4063,
39,Labuhan,ID,77.11,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
43,Faanui,PF,81.36,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
44,Pandan,PH,75.27,overcast clouds,14.0453,124.1694,Bonifacio Lodge
47,Pimentel,PE,80.6,clear sky,-6.8367,-79.9342,Casona Del Muelle
50,Angoche,MZ,82.18,broken clouds,-16.2325,39.9086,Guest House HESADA
55,Port-Gentil,GA,82.4,scattered clouds,-0.7193,8.7815,Fengshui Residence
58,Gao,ML,78.91,few clouds,16.6362,1.637,
59,Butaritari,KI,81.57,light rain,3.0707,172.7902,Isles Sunset Lodge
62,Linares,CL,88.11,clear sky,-35.85,-71.6,Hotel Real
75,Mazagao,BR,84.2,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
79,Hambantota,LK,75.2,light rain,6.1241,81.1185,Bungalow 63
80,Mercedes,AR,89.01,clear sky,-34.6515,-59.4307,Posada del Inti Centro
86,Avarua,CK,82.4,few clouds,-21.2078,-159.775,Paradise Inn
87,Quatre Cocos,MU,79.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
89,Touros,BR,84.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
91,El Alto,PE,86.0,clear sky,-4.2714,-81.2147,Black Marlin Lodge & Restaurant
97,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
98,Malindi,KE,77.67,scattered clouds,-3.2175,40.1191,African House Resort
