City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,78.15,76,100,13.56,overcast clouds
1,Marsabit,KE,2.3284,37.9899,69.31,45,14,5.39,few clouds
2,Vaini,TO,-21.2,-175.2,80.6,89,75,4.61,broken clouds
3,Meulaboh,ID,4.1363,96.1285,74.77,89,100,4.9,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,55.4,47,75,10.36,light rain
5,Albany,US,42.6001,-73.9662,33.01,48,100,8.3,overcast clouds
6,Prince Rupert,CA,54.3161,-130.3201,46.4,46,90,14.97,overcast clouds
7,Castro,BR,-24.7911,-50.0119,73.63,89,97,7.43,overcast clouds
8,Nakhon Si Thammarat,TH,8.25,100.0,73.49,93,73,4.5,broken clouds
9,Carnarvon,AU,-24.8667,113.6333,80.6,74,52,13.8,broken clouds
10,Longyearbyen,SJ,78.2186,15.6401,23.0,74,75,17.27,broken clouds
11,Saint-Philippe,RE,-21.3585,55.7679,77.0,83,0,10.36,light rain
12,Mataura,NZ,-46.1927,168.8643,53.01,91,72,4.0,broken clouds
13,Busselton,AU,-33.65,115.3333,66.99,80,92,7.0,overcast clouds
14,Fortuna,US,40.5982,-124.1573,55.0,76,1,9.22,clear sky
15,Wuzhou,CN,23.4833,111.3167,44.46,51,100,4.0,overcast clouds
16,Kaitangata,NZ,-46.2817,169.8464,55.0,83,39,3.0,scattered clouds
17,Catuday,PH,16.2923,119.8062,73.29,74,14,9.66,few clouds
18,Margate,GB,51.3813,1.3862,37.0,98,0,6.8,clear sky
19,Noumea,NC,-22.2763,166.4572,81.0,100,90,2.3,overcast clouds
20,Lorengau,PG,-2.0226,147.2712,80.94,67,100,3.24,overcast clouds
21,Dikson,RU,73.5069,80.5464,-6.14,84,100,5.97,overcast clouds
22,New Norfolk,AU,-42.7826,147.0587,55.0,70,15,1.61,few clouds
23,Punta Arenas,CL,-53.15,-70.9167,53.6,58,75,9.22,light rain
24,Bengkulu,ID,-3.8004,102.2655,75.65,85,100,4.14,overcast clouds
25,Ulladulla,AU,-35.35,150.4667,62.01,94,0,8.05,clear sky
26,Hengshui,CN,37.7322,115.7011,19.71,72,0,6.96,clear sky
27,Yellowknife,CA,62.456,-114.3525,10.4,92,75,8.05,broken clouds
28,Ilulissat,GL,69.2167,-51.1,21.2,42,40,20.71,snow
29,Khatanga,RU,71.9667,102.5,-29.74,86,93,2.35,overcast clouds
30,Great Bend,US,38.3645,-98.7648,36.0,80,90,4.45,overcast clouds
31,Tasiilaq,GL,65.6145,-37.6368,15.8,48,20,1.14,few clouds
32,Campina Verde,BR,-19.5356,-49.4864,91.09,39,100,7.25,overcast clouds
33,Cabo San Lucas,MX,22.8909,-109.9124,75.0,46,1,9.22,clear sky
34,Esperance,AU,-33.8667,121.9,77.0,38,40,19.57,scattered clouds
35,Mossendjo,CG,-2.9506,12.7261,70.66,95,64,2.35,light rain
36,Concordia,AR,-31.393,-58.0209,78.8,65,75,11.5,broken clouds
37,Puerto Santander,CO,8.3636,-72.4063,82.4,65,40,4.61,scattered clouds
38,Hermanus,ZA,-34.4187,19.2345,64.99,83,57,6.22,broken clouds
39,Labuhan,ID,-6.8844,112.2051,77.11,85,100,7.85,overcast clouds
40,Saskylakh,RU,71.9167,114.0833,-23.04,85,100,9.62,overcast clouds
41,Amberley,US,39.2048,-84.428,37.0,64,75,3.78,broken clouds
42,Pangnirtung,CA,66.1451,-65.7125,6.8,72,90,3.44,overcast clouds
43,Faanui,PF,-16.4833,-151.75,81.36,69,2,13.76,clear sky
44,Pandan,PH,14.0453,124.1694,75.27,87,100,26.35,overcast clouds
45,Bredasdorp,ZA,-34.5322,20.0403,66.2,72,15,5.75,few clouds
46,Saldanha,ZA,-33.0117,17.9442,66.2,72,0,12.66,clear sky
47,Pimentel,PE,-6.8367,-79.9342,80.6,57,0,19.57,clear sky
48,Komsomolskiy,UZ,40.4272,71.7189,21.2,79,0,4.61,mist
49,Akdepe,TM,42.0551,59.3788,32.0,47,100,18.41,overcast clouds
50,Angoche,MZ,-16.2325,39.9086,82.18,78,84,7.65,broken clouds
51,Nikolskoye,RU,59.7035,30.7861,8.01,85,0,4.47,clear sky
52,Qaanaaq,GL,77.484,-69.3632,-2.06,77,2,3.94,clear sky
53,Kapaa,US,22.0752,-159.319,71.01,83,90,6.91,overcast clouds
54,Washington,US,47.5001,-120.5015,36.0,88,96,2.8,overcast clouds
55,Port-Gentil,GA,-0.7193,8.7815,82.4,83,40,8.05,scattered clouds
56,Thompson,CA,55.7435,-97.8558,5.0,85,75,3.44,broken clouds
57,Oban,GB,56.4127,-5.4706,45.0,95,100,3.0,overcast clouds
58,Gao,ML,16.6362,1.637,78.91,16,11,6.8,few clouds
59,Butaritari,KI,3.0707,172.7902,81.57,80,88,21.43,light rain
60,Althofen,AT,46.8818,14.4676,21.99,93,50,4.61,scattered clouds
61,Tuktoyaktuk,CA,69.4541,-133.0374,6.8,92,90,20.71,light snow
62,Linares,CL,-35.85,-71.6,88.11,12,0,12.35,clear sky
63,Gravelbourg,CA,49.8834,-106.5512,17.6,79,0,2.3,clear sky
64,Griffith,US,41.5284,-87.4237,36.0,75,1,5.75,clear sky
65,Jamestown,US,42.097,-79.2353,35.01,64,90,8.05,overcast clouds
66,Cervo,ES,43.6702,-7.4101,48.0,70,100,5.01,overcast clouds
67,Plainview,US,40.7765,-73.4673,37.0,44,1,10.36,clear sky
68,Pushkar,IN,26.5,74.55,58.37,64,0,6.4,clear sky
69,Almaznyy,RU,48.0448,40.045,35.6,87,40,11.18,scattered clouds
70,Port Alfred,ZA,-33.5906,26.891,73.0,90,38,5.01,light rain
71,Upernavik,GL,72.7868,-56.1549,10.33,82,20,11.43,few clouds
72,Dukhovshchina,RU,55.1919,32.4111,13.12,96,100,5.37,light snow
73,Methven,NZ,-43.6333,171.65,59.0,95,5,5.7,clear sky
74,Mount Gambier,AU,-37.8333,140.7667,51.8,93,0,5.75,clear sky
75,Mazagao,BR,-0.115,-51.2894,84.2,79,75,9.22,broken clouds
76,Barrow,US,71.2906,-156.7887,-0.4,71,90,4.61,overcast clouds
77,Sao Filipe,CV,14.8961,-24.4956,72.72,74,3,19.06,clear sky
78,Gopalpur,IN,19.2667,84.9167,70.18,76,0,3.91,clear sky
79,Hambantota,LK,6.1241,81.1185,75.2,100,75,4.61,light rain
80,Mercedes,AR,-34.6515,-59.4307,89.01,37,0,1.99,clear sky
81,Kodiak,US,57.79,-152.4072,33.8,93,90,4.61,light snow
82,San Jeronimo,PE,-11.9472,-75.2829,59.5,54,99,4.5,moderate rain
83,Nouakchott,MR,18.0858,-15.9785,73.4,31,0,19.57,clear sky
84,Torbay,CA,47.6666,-52.7314,35.01,86,75,20.71,broken clouds
85,Channel-Port Aux Basques,CA,47.5702,-59.1367,35.91,92,96,14.94,overcast clouds
86,Avarua,CK,-21.2078,-159.775,82.4,74,20,6.91,few clouds
87,Quatre Cocos,MU,-20.2078,57.7625,79.0,89,40,8.05,scattered clouds
88,Ponta Delgada,PT,37.7333,-25.6667,51.8,66,40,6.91,scattered clouds
89,Touros,BR,-5.1989,-35.4608,84.2,61,40,18.41,scattered clouds
90,Saurimo,AO,-9.6608,20.3916,65.19,95,100,3.96,overcast clouds
91,El Alto,PE,-4.2714,-81.2147,86.0,62,0,14.97,clear sky
92,Crotone,IT,39.0851,17.1178,50.0,100,75,5.75,moderate rain
93,Airai,TL,-8.9266,125.4092,62.06,100,100,0.34,light rain
94,Clyde River,CA,70.4692,-68.5914,1.4,78,75,9.22,light snow
95,Guerrero Negro,MX,27.9769,-114.0611,70.5,41,0,7.99,clear sky
96,Berezovyy,RU,51.6667,135.7,-18.56,78,14,3.58,few clouds
97,Georgetown,MY,5.4112,100.3354,80.6,78,20,5.75,few clouds
98,Malindi,KE,-3.2175,40.1191,77.67,83,49,11.74,scattered clouds
99,Santa Isabel,BR,-23.3156,-46.2214,75.2,78,75,5.75,moderate rain
100,Hobart,AU,-42.8794,147.3294,59.0,82,75,3.44,broken clouds
101,Tiznit,MA,29.5833,-9.5,47.17,83,45,9.08,light rain
102,Cape Town,ZA,-33.9258,18.4232,72.0,68,0,9.22,clear sky
103,Norsup,VU,-16.0667,167.3833,82.58,75,61,2.3,light rain
