City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Calatayud,ES,2020-12-27 17:39:08,41.35,-1.64,48.99,61,0,4.7
1,Vanimo,PG,2020-12-27 17:37:13,-2.67,141.3,78.94,82,100,5.35
2,Takoradi,GH,2020-12-27 17:37:25,4.88,-1.76,81.3,79,58,9.22
3,Labuan,MY,2020-12-27 17:39:09,5.28,115.24,78.8,83,20,1.12
4,Inhambane,MZ,2020-12-27 17:39:09,-23.86,35.38,84.0,78,20,6.93
5,Haines Junction,CA,2020-12-27 17:36:40,60.75,-137.51,14.74,92,99,1.74
6,Damietta,EG,2020-12-27 17:39:09,31.42,31.81,68.0,56,0,6.93
7,Zhuanghe,CN,2020-12-27 17:39:10,39.7,122.99,25.0,57,0,5.55
8,Chuy,UY,2020-12-27 17:36:54,-33.7,-53.46,79.61,63,1,15.46
9,Hamilton,US,2020-12-27 17:36:44,39.18,-84.53,46.99,56,1,13.87
10,Dawei,MM,2020-12-27 17:39:10,14.08,98.2,74.97,83,4,2.75
11,Nisia Floresta,BR,2020-12-27 17:39:11,-6.09,-35.21,86.0,55,75,20.8
12,Sitka,US,2020-12-27 17:38:02,57.05,-135.33,33.8,86,90,4.7
13,Qaanaaq,GL,2020-12-27 17:36:47,77.48,-69.36,-10.01,73,1,5.82
14,Vaini,TO,2020-12-27 17:36:44,-21.2,-175.2,77.0,100,75,2.24
15,Kolokani,ML,2020-12-27 17:39:11,13.57,-8.03,85.62,17,33,8.66
16,Kodiak,US,2020-12-27 17:36:56,57.79,-152.41,33.8,96,90,25.28
17,Sandovo,RU,2020-12-27 17:39:12,58.46,36.41,3.06,93,17,3.4
18,Ushuaia,AR,2020-12-27 17:36:53,-54.8,-68.3,60.8,51,40,6.93
19,Krasnopillya,UA,2020-12-27 17:39:12,50.77,35.26,20.84,97,11,4.12
20,Fortuna,US,2020-12-27 17:37:44,40.6,-124.16,39.2,93,1,8.05
21,Ovre Ardal,NO,2020-12-27 17:39:13,61.32,7.8,39.2,60,75,26.4
22,Laguna,US,2020-12-27 17:38:17,38.42,-121.42,45.0,87,1,4.7
23,Butaritari,KI,2020-12-27 17:37:26,3.07,172.79,80.85,80,25,20.27
24,Atuona,PF,2020-12-27 17:37:10,-9.8,-139.03,78.94,76,0,16.6
25,Tottori,JP,2020-12-27 17:39:13,35.5,134.23,43.29,88,100,3.78
26,Oktyabrskiy,RU,2020-12-27 17:39:14,54.48,53.47,22.26,97,96,5.5
27,Port Blair,IN,2020-12-27 17:37:40,11.67,92.75,80.53,84,1,10.33
28,Airai,TL,2020-12-27 17:38:19,-8.93,125.41,61.34,100,100,0.87
29,Dhankuta,NP,2020-12-27 17:39:14,26.98,87.33,47.95,84,0,4.52
30,Gudalur,IN,2020-12-27 17:39:15,9.68,77.27,67.06,83,1,1.36
31,Punta Arenas,CL,2020-12-27 17:34:24,-53.15,-70.92,69.8,52,40,28.86
32,Barrow,US,2020-12-27 17:39:15,71.29,-156.79,-7.6,76,90,6.93
33,Impfondo,CG,2020-12-27 17:38:07,1.64,18.07,79.56,68,99,3.69
34,Kanniyakumari,IN,2020-12-27 17:37:22,8.08,77.57,78.73,75,7,18.88
35,Neuquen,AR,2020-12-27 17:39:16,-38.95,-68.06,93.2,36,40,9.17
36,Arraial Do Cabo,BR,2020-12-27 17:37:31,-22.97,-42.03,84.2,70,75,8.05
37,Flinders,AU,2020-12-27 17:38:17,-34.58,150.86,75.99,86,100,1.99
38,Henties Bay,NA,2020-12-27 17:37:40,-22.12,14.28,64.99,85,10,1.99
39,Anshun,CN,2020-12-27 17:39:17,26.25,105.93,48.76,93,73,5.88
40,Natal,BR,2020-12-27 17:39:17,-5.79,-35.21,86.0,55,75,20.8
41,Castro,BR,2020-12-27 17:33:27,-24.79,-50.01,75.54,75,56,2.35
42,Liwale,TZ,2020-12-27 17:34:22,-9.77,37.93,71.17,97,100,4.07
43,Port Lincoln,AU,2020-12-27 17:38:31,-34.73,135.87,54.79,61,40,13.69
44,Los Llanos De Aridane,ES,2020-12-27 17:34:22,28.66,-17.92,69.8,77,20,1.12
